Created_Date,Complaint_Type,Descriptor
2013-10-19 02:51:06,Illegal Parking,Double Parked Blocking Traffic
2013-10-19 02:50:33,Illegal Parking,Blocked Hydrant
2013-10-18 23:15:27,Illegal Parking,Blocked Hydrant
2013-10-18 22:22:03,Illegal Parking,Commercial Overnight Parking
2013-10-18 21:33:24,Illegal Parking,Commercial Overnight Parking
2013-10-18 21:21:29,Illegal Parking,Blocked Hydrant
2013-10-18 21:01:15,Illegal Parking,Posted Parking Sign Violation
2013-10-18 20:52:54,Illegal Parking,Blocked Sidewalk
2013-10-18 20:41:45,Illegal Parking,Overnight Commercial Storage
2013-10-18 20:03:59,Illegal Parking,Blocked Hydrant
2013-10-18 19:29:40,Illegal Parking,Blocked Sidewalk
2013-10-18 16:56:29,Illegal Parking,Overnight Commercial Storage
2013-10-18 16:13:11,Illegal Parking,Posted Parking Sign Violation
2013-10-18 15:24:17,Illegal Parking,Posted Parking Sign Violation
2013-10-18 14:55:44,Illegal Parking,Double Parked Blocking Vehicle
2013-10-18 14:45:11,Illegal Parking,Double Parked Blocking Vehicle
2013-10-18 14:39:59,Illegal Parking,Blocked Sidewalk
2013-10-18 14:14:29,Illegal Parking,Posted Parking Sign Violation
2013-10-18 13:54:49,Illegal Parking,Blocked Sidewalk
2013-10-18 13:14:15,Illegal Parking,Blocked Sidewalk
2013-10-18 12:57:53,Illegal Parking,Blocked Hydrant
2013-10-18 12:48:49,Illegal Parking,Posted Parking Sign Violation
2013-10-18 11:55:07,Illegal Parking,Blocked Sidewalk
2013-10-18 10:23:02,Illegal Parking,Blocked Hydrant
2013-10-18 09:56:08,Illegal Parking,Double Parked Blocking Traffic
2013-10-18 08:50:54,Illegal Parking,Posted Parking Sign Violation
2013-10-18 07:28:49,Illegal Parking,Commercial Overnight Parking
2013-10-18 07:22:13,Illegal Parking,Blocked Hydrant
2013-10-18 04:14:01,Illegal Parking,Blocked Hydrant
2013-10-18 00:04:50,Illegal Parking,Commercial Overnight Parking
2013-10-17 23:35:50,Illegal Parking,Commercial Overnight Parking
2013-10-17 23:12:58,Illegal Parking,Blocked Sidewalk
2013-10-17 22:19:41,Illegal Parking,Blocked Hydrant
2013-10-17 22:19:33,Illegal Parking,Commercial Overnight Parking
2013-10-17 21:44:14,Illegal Parking,Blocked Hydrant
2013-10-17 21:29:26,Illegal Parking,Blocked Hydrant
2013-10-17 20:07:04,Illegal Parking,Posted Parking Sign Violation
2013-10-17 19:54:47,Illegal Parking,Blocked Sidewalk
2013-10-17 19:51:58,Illegal Parking,Double Parked Blocking Traffic
2013-10-17 19:35:28,Illegal Parking,Commercial Overnight Parking
2013-10-17 19:27:41,Illegal Parking,Blocked Sidewalk
2013-10-17 18:28:27,Illegal Parking,Posted Parking Sign Violation
2013-10-17 18:19:55,Illegal Parking,Blocked Sidewalk
2013-10-17 18:01:57,Illegal Parking,Blocked Hydrant
2013-10-17 17:59:13,Illegal Parking,Blocked Sidewalk
2013-10-17 16:54:35,Illegal Parking,Blocked Sidewalk
2013-10-17 16:29:12,Illegal Parking,Blocked Sidewalk
2013-10-17 16:22:25,Illegal Parking,Posted Parking Sign Violation
2013-10-17 16:13:54,Illegal Parking,Posted Parking Sign Violation
2013-10-17 15:22:44,Illegal Parking,Posted Parking Sign Violation
2013-10-17 15:01:31,Illegal Parking,Posted Parking Sign Violation
2013-10-17 14:11:53,Illegal Parking,Posted Parking Sign Violation
2013-10-17 14:06:16,Illegal Parking,Blocked Sidewalk
2013-10-17 12:21:18,Illegal Parking,Posted Parking Sign Violation
2013-10-17 12:11:32,Illegal Parking,Blocked Sidewalk
2013-10-17 12:02:36,Illegal Parking,Posted Parking Sign Violation
2013-10-17 11:58:38,Illegal Parking,Posted Parking Sign Violation
2013-10-17 11:45:50,Illegal Parking,Posted Parking Sign Violation
2013-10-17 11:36:45,Illegal Parking,Double Parked Blocking Traffic
2013-10-17 10:21:22,Illegal Parking,Blocked Sidewalk
2013-10-17 09:57:47,Illegal Parking,Posted Parking Sign Violation
2013-10-17 09:53:46,Illegal Parking,Posted Parking Sign Violation
2013-10-17 09:39:34,Illegal Parking,Double Parked Blocking Traffic
2013-10-17 09:33:05,Illegal Parking,Blocked Sidewalk
2013-10-17 09:23:59,Illegal Parking,Posted Parking Sign Violation
2013-10-17 09:03:02,Illegal Parking,Double Parked Blocking Traffic
2013-10-17 07:45:04,Illegal Parking,Commercial Overnight Parking
2013-10-17 07:37:07,Illegal Parking,Unauthorized Bus Layover
2013-10-17 07:26:25,Illegal Parking,Overnight Commercial Storage
2013-10-17 06:26:31,Illegal Parking,Posted Parking Sign Violation
2013-10-17 05:15:19,Illegal Parking,Commercial Overnight Parking
2013-10-17 02:40:23,Illegal Parking,Overnight Commercial Storage
2013-10-17 02:20:57,Illegal Parking,Blocked Hydrant
2013-10-17 01:31:23,Illegal Parking,Blocked Hydrant
2013-10-17 00:31:22,Illegal Parking,Blocked Hydrant
2013-10-17 00:13:58,Illegal Parking,Posted Parking Sign Violation
2013-10-16 23:18:42,Illegal Parking,Commercial Overnight Parking
2013-10-16 22:44:31,Illegal Parking,Blocked Sidewalk
2013-10-16 22:34:00,Illegal Parking,Overnight Commercial Storage
2013-10-16 22:20:44,Illegal Parking,Blocked Sidewalk
2013-10-16 21:45:08,Illegal Parking,Blocked Hydrant
2013-10-16 21:20:35,Illegal Parking,Commercial Overnight Parking
2013-10-16 20:17:58,Illegal Parking,Blocked Hydrant
2013-10-16 20:01:36,Illegal Parking,Blocked Hydrant
2013-10-16 19:48:50,Illegal Parking,Double Parked Blocking Traffic
2013-10-16 19:17:30,Illegal Parking,Double Parked Blocking Traffic
2013-10-16 18:27:22,Illegal Parking,Commercial Overnight Parking
2013-10-16 18:23:23,Illegal Parking,Blocked Sidewalk
2013-10-16 18:08:51,Illegal Parking,Double Parked Blocking Traffic
2013-10-16 17:40:31,Illegal Parking,Commercial Overnight Parking
2013-10-16 17:21:42,Illegal Parking,Blocked Sidewalk
2013-10-16 16:51:57,Illegal Parking,Posted Parking Sign Violation
2013-10-16 16:50:41,Illegal Parking,Commercial Overnight Parking
2013-10-16 15:54:56,Illegal Parking,Blocked Sidewalk
2013-10-16 15:40:48,Illegal Parking,Commercial Overnight Parking
2013-10-16 15:07:59,Illegal Parking,Posted Parking Sign Violation
2013-10-16 14:48:31,Illegal Parking,Double Parked Blocking Traffic
2013-10-16 13:58:33,Illegal Parking,Commercial Overnight Parking
2013-10-16 12:20:57,Illegal Parking,Blocked Sidewalk
2013-10-16 12:20:19,Illegal Parking,Posted Parking Sign Violation
2013-10-16 12:03:09,Illegal Parking,Posted Parking Sign Violation
2013-10-16 12:03:01,Illegal Parking,Commercial Overnight Parking
2013-10-16 12:01:04,Illegal Parking,Blocked Sidewalk
2013-10-16 11:40:28,Illegal Parking,Commercial Overnight Parking
2013-10-16 11:37:40,Illegal Parking,Double Parked Blocking Traffic
2013-10-16 11:21:05,Illegal Parking,Blocked Hydrant
2013-10-16 11:06:56,Illegal Parking,Blocked Sidewalk
2013-10-16 10:50:47,Illegal Parking,Posted Parking Sign Violation
2013-10-16 10:03:18,Illegal Parking,Unauthorized Bus Layover
2013-10-16 09:17:10,Illegal Parking,Posted Parking Sign Violation
2013-10-16 08:02:03,Illegal Parking,Double Parked Blocking Traffic
2013-10-16 07:55:31,Illegal Parking,Commercial Overnight Parking
2013-10-16 07:11:54,Illegal Parking,Posted Parking Sign Violation
2013-10-16 05:23:19,Illegal Parking,Blocked Hydrant
2013-10-16 02:59:05,Illegal Parking,Commercial Overnight Parking
2013-10-16 02:18:51,Illegal Parking,Blocked Sidewalk
2013-10-16 00:19:55,Illegal Parking,Posted Parking Sign Violation
2013-10-15 21:21:52,Illegal Parking,Posted Parking Sign Violation
2013-10-15 21:16:51,Illegal Parking,Blocked Hydrant
2013-10-15 21:10:41,Illegal Parking,Overnight Commercial Storage
2013-10-15 21:08:01,Illegal Parking,Blocked Hydrant
2013-10-15 20:24:55,Illegal Parking,Double Parked Blocking Traffic
2013-10-15 19:52:25,Illegal Parking,Blocked Hydrant
2013-10-15 19:33:59,Illegal Parking,Blocked Hydrant
2013-10-15 19:22:00,Illegal Parking,Commercial Overnight Parking
2013-10-15 18:59:39,Illegal Parking,Commercial Overnight Parking
2013-10-15 18:48:56,Illegal Parking,Blocked Hydrant
2013-10-15 18:47:25,Illegal Parking,Commercial Overnight Parking
2013-10-15 18:33:45,Illegal Parking,Blocked Sidewalk
2013-10-15 17:49:59,Illegal Parking,Blocked Hydrant
2013-10-15 17:18:10,Illegal Parking,Blocked Sidewalk
2013-10-15 17:13:29,Illegal Parking,Posted Parking Sign Violation
2013-10-15 16:23:04,Illegal Parking,Double Parked Blocking Traffic
2013-10-15 16:11:10,Illegal Parking,Posted Parking Sign Violation
2013-10-15 14:35:06,Illegal Parking,Blocked Sidewalk
2013-10-15 14:28:23,Illegal Parking,Posted Parking Sign Violation
2013-10-15 13:00:45,Illegal Parking,Blocked Sidewalk
2013-10-15 12:41:33,Illegal Parking,Blocked Sidewalk
2013-10-15 12:33:13,Illegal Parking,Blocked Sidewalk
2013-10-15 11:59:28,Illegal Parking,Posted Parking Sign Violation
2013-10-15 11:34:47,Illegal Parking,Posted Parking Sign Violation
2013-10-15 10:35:43,Illegal Parking,Posted Parking Sign Violation
2013-10-15 09:52:01,Illegal Parking,Overnight Commercial Storage
2013-10-15 09:49:41,Illegal Parking,Overnight Commercial Storage
2013-10-15 09:44:55,Illegal Parking,Blocked Sidewalk
2013-10-15 09:27:48,Illegal Parking,Blocked Sidewalk
2013-10-15 09:18:40,Illegal Parking,Double Parked Blocking Vehicle
2013-10-15 09:13:16,Illegal Parking,Blocked Hydrant
2013-10-15 08:50:07,Illegal Parking,Posted Parking Sign Violation
2013-10-15 08:46:42,Illegal Parking,Commercial Overnight Parking
2013-10-15 08:44:37,Illegal Parking,Double Parked Blocking Traffic
2013-10-15 08:37:55,Illegal Parking,Double Parked Blocking Traffic
2013-10-15 08:13:26,Illegal Parking,Blocked Sidewalk
2013-10-15 07:49:00,Illegal Parking,Posted Parking Sign Violation
2013-10-15 07:36:20,Illegal Parking,Blocked Hydrant
2013-10-15 07:22:34,Illegal Parking,Posted Parking Sign Violation
2013-10-15 07:01:06,Illegal Parking,Double Parked Blocking Traffic
2013-10-15 06:57:19,Illegal Parking,Double Parked Blocking Traffic
2013-10-15 05:50:22,Illegal Parking,Double Parked Blocking Traffic
2013-10-15 00:37:58,Illegal Parking,Commercial Overnight Parking
2013-10-15 00:28:47,Illegal Parking,Commercial Overnight Parking
2013-10-14 22:49:28,Illegal Parking,Blocked Hydrant
2013-10-14 22:48:51,Illegal Parking,Overnight Commercial Storage
2013-10-14 22:40:21,Illegal Parking,Overnight Commercial Storage
2013-10-14 21:50:22,Illegal Parking,Blocked Sidewalk
2013-10-14 21:09:23,Illegal Parking,Blocked Sidewalk
2013-10-14 20:28:01,Illegal Parking,Posted Parking Sign Violation
2013-10-14 19:47:42,Illegal Parking,Posted Parking Sign Violation
2013-10-14 19:30:36,Illegal Parking,Double Parked Blocking Traffic
2013-10-14 19:26:27,Illegal Parking,Blocked Hydrant
2013-10-14 19:23:45,Illegal Parking,Commercial Overnight Parking
2013-10-14 19:13:26,Illegal Parking,Blocked Hydrant
2013-10-14 18:53:21,Illegal Parking,Posted Parking Sign Violation
2013-10-14 17:31:34,Illegal Parking,Posted Parking Sign Violation
2013-10-14 16:22:32,Illegal Parking,Posted Parking Sign Violation
2013-10-14 15:34:52,Illegal Parking,Overnight Commercial Storage
2013-10-14 15:24:32,Illegal Parking,Blocked Sidewalk
2013-10-14 15:05:57,Illegal Parking,Blocked Sidewalk
2013-10-14 14:33:42,Illegal Parking,Blocked Sidewalk
2013-10-14 14:19:33,Illegal Parking,Blocked Sidewalk
2013-10-14 13:43:52,Illegal Parking,Blocked Sidewalk
2013-10-14 12:23:59,Illegal Parking,Blocked Sidewalk
2013-10-14 12:20:27,Illegal Parking,Commercial Overnight Parking
2013-10-14 10:42:51,Illegal Parking,Posted Parking Sign Violation
2013-10-14 10:13:39,Illegal Parking,Posted Parking Sign Violation
2013-10-14 09:33:59,Illegal Parking,Commercial Overnight Parking
2013-10-14 08:55:27,Illegal Parking,Posted Parking Sign Violation
2013-10-14 08:24:10,Illegal Parking,Overnight Commercial Storage
2013-10-14 06:00:22,Illegal Parking,Posted Parking Sign Violation
2013-10-14 02:40:32,Illegal Parking,Posted Parking Sign Violation
2013-10-14 00:22:02,Illegal Parking,Commercial Overnight Parking
2013-10-14 00:02:47,Illegal Parking,Commercial Overnight Parking
2013-10-13 22:32:53,Illegal Parking,Commercial Overnight Parking
2013-10-13 22:28:14,Illegal Parking,Double Parked Blocking Traffic
2013-10-13 22:27:12,Illegal Parking,Unauthorized Bus Layover
2013-10-13 22:17:11,Illegal Parking,Overnight Commercial Storage
2013-10-13 21:58:20,Illegal Parking,Commercial Overnight Parking
2013-10-13 21:25:32,Illegal Parking,Posted Parking Sign Violation
2013-10-13 20:04:46,Illegal Parking,Blocked Hydrant
2013-10-13 19:11:21,Illegal Parking,Overnight Commercial Storage
2013-10-13 18:18:16,Illegal Parking,Double Parked Blocking Traffic
2013-10-13 18:17:25,Illegal Parking,Blocked Hydrant
2013-10-13 15:31:19,Illegal Parking,Double Parked Blocking Vehicle
2013-10-13 15:17:30,Illegal Parking,Blocked Sidewalk
2013-10-13 15:15:02,Illegal Parking,Double Parked Blocking Vehicle
2013-10-13 15:06:46,Illegal Parking,Blocked Sidewalk
2013-10-13 15:05:42,Illegal Parking,Commercial Overnight Parking
2013-10-13 14:37:59,Illegal Parking,Posted Parking Sign Violation
2013-10-13 11:07:09,Illegal Parking,Blocked Sidewalk
2013-10-13 10:46:47,Illegal Parking,Posted Parking Sign Violation
2013-10-13 10:29:46,Illegal Parking,Posted Parking Sign Violation
2013-10-13 10:29:33,Illegal Parking,Blocked Hydrant
2013-10-13 10:29:29,Illegal Parking,Posted Parking Sign Violation
2013-10-13 09:38:03,Illegal Parking,Posted Parking Sign Violation
2013-10-13 03:49:27,Illegal Parking,Commercial Overnight Parking
2013-10-13 02:52:05,Illegal Parking,Blocked Hydrant
2013-10-12 23:25:29,Illegal Parking,Overnight Commercial Storage
2013-10-12 23:03:36,Illegal Parking,Commercial Overnight Parking
2013-10-12 20:53:22,Illegal Parking,Blocked Hydrant
2013-10-12 20:45:40,Illegal Parking,Posted Parking Sign Violation
2013-10-12 20:06:17,Illegal Parking,Posted Parking Sign Violation
2013-10-12 19:28:34,Illegal Parking,Overnight Commercial Storage
2013-10-12 17:23:56,Illegal Parking,Blocked Sidewalk
2013-10-12 16:02:00,Illegal Parking,Commercial Overnight Parking
2013-10-12 15:40:19,Illegal Parking,Double Parked Blocking Traffic
2013-10-12 15:13:08,Illegal Parking,Double Parked Blocking Traffic
2013-10-11 22:34:14,Illegal Parking,Commercial Overnight Parking
2013-10-11 15:50:22,Illegal Parking,Blocked Sidewalk
2013-10-11 15:17:36,Illegal Parking,Blocked Sidewalk
2013-10-11 14:40:54,Illegal Parking,Posted Parking Sign Violation
2013-10-11 14:24:45,Illegal Parking,Commercial Overnight Parking
2013-10-11 13:22:41,Illegal Parking,Posted Parking Sign Violation
2013-10-11 13:16:14,Illegal Parking,Commercial Overnight Parking
2013-10-11 11:56:52,Illegal Parking,Blocked Sidewalk
2013-10-11 11:07:17,Illegal Parking,Posted Parking Sign Violation
2013-10-11 10:46:38,Illegal Parking,Posted Parking Sign Violation
2013-10-11 10:39:54,Illegal Parking,Posted Parking Sign Violation
2013-10-11 10:32:25,Illegal Parking,Posted Parking Sign Violation
2013-10-11 09:00:26,Illegal Parking,Blocked Sidewalk
2013-10-11 08:22:19,Illegal Parking,Posted Parking Sign Violation
2013-10-11 07:51:21,Illegal Parking,Blocked Sidewalk
2013-10-11 06:52:51,Illegal Parking,Overnight Commercial Storage
2013-10-11 03:07:22,Illegal Parking,Commercial Overnight Parking
2013-10-11 02:00:10,Illegal Parking,Blocked Hydrant
2013-10-11 00:55:26,Illegal Parking,Blocked Hydrant
2013-10-11 00:03:25,Illegal Parking,Blocked Hydrant
2013-10-10 21:40:08,Illegal Parking,Blocked Sidewalk
2013-10-10 20:47:31,Illegal Parking,Blocked Sidewalk
2013-10-10 20:35:55,Illegal Parking,Commercial Overnight Parking
2013-10-10 19:07:05,Illegal Parking,Detached Trailer
2013-10-10 19:02:45,Illegal Parking,Blocked Sidewalk
2013-10-10 18:31:30,Illegal Parking,Blocked Hydrant
2013-10-10 18:30:47,Illegal Parking,Blocked Sidewalk
2013-10-10 18:20:51,Illegal Parking,Posted Parking Sign Violation
2013-10-10 18:18:48,Illegal Parking,Blocked Sidewalk
2013-10-10 17:09:04,Illegal Parking,Blocked Sidewalk
2013-10-10 16:57:12,Illegal Parking,Overnight Commercial Storage
2013-10-10 16:40:50,Illegal Parking,Posted Parking Sign Violation
2013-10-10 16:29:10,Illegal Parking,Posted Parking Sign Violation
2013-10-10 16:09:23,Illegal Parking,Overnight Commercial Storage
2013-10-10 14:16:43,Illegal Parking,Blocked Hydrant
2013-10-10 13:32:53,Illegal Parking,Blocked Sidewalk
2013-10-10 13:32:32,Illegal Parking,Posted Parking Sign Violation
2013-10-10 13:26:13,Illegal Parking,Blocked Sidewalk
2013-10-10 13:08:32,Illegal Parking,Blocked Sidewalk
2013-10-10 11:41:58,Illegal Parking,Blocked Sidewalk
2013-10-10 11:34:48,Illegal Parking,Double Parked Blocking Vehicle
2013-10-10 11:22:42,Illegal Parking,Blocked Sidewalk
2013-10-10 11:04:52,Illegal Parking,Posted Parking Sign Violation
2013-10-10 10:05:38,Illegal Parking,Commercial Overnight Parking
2013-10-10 09:34:26,Illegal Parking,Blocked Hydrant
2013-10-10 07:59:50,Illegal Parking,Double Parked Blocking Traffic
2013-10-10 07:44:06,Illegal Parking,Commercial Overnight Parking
2013-10-10 06:21:45,Illegal Parking,Blocked Sidewalk
2013-10-10 00:10:20,Illegal Parking,Blocked Hydrant
2013-10-09 23:09:43,Illegal Parking,Blocked Hydrant
2013-10-09 23:00:42,Illegal Parking,Blocked Hydrant
2013-10-09 22:16:05,Illegal Parking,Commercial Overnight Parking
2013-10-09 21:58:56,Illegal Parking,Commercial Overnight Parking
2013-10-09 21:26:55,Illegal Parking,Overnight Commercial Storage
2013-10-09 20:10:56,Illegal Parking,Commercial Overnight Parking
2013-10-09 19:52:15,Illegal Parking,Blocked Hydrant
2013-10-09 19:45:28,Illegal Parking,Double Parked Blocking Vehicle
2013-10-09 19:23:10,Illegal Parking,Commercial Overnight Parking
2013-10-09 17:46:27,Illegal Parking,Posted Parking Sign Violation
2013-10-09 17:30:14,Illegal Parking,Posted Parking Sign Violation
2013-10-09 16:59:53,Illegal Parking,Blocked Sidewalk
2013-10-09 16:46:00,Illegal Parking,Overnight Commercial Storage
2013-10-09 16:16:57,Illegal Parking,Overnight Commercial Storage
2013-10-09 16:07:24,Illegal Parking,Overnight Commercial Storage
2013-10-09 14:55:05,Illegal Parking,Blocked Sidewalk
2013-10-09 14:39:24,Illegal Parking,Posted Parking Sign Violation
2013-10-09 13:43:01,Illegal Parking,Posted Parking Sign Violation
2013-10-09 12:55:10,Illegal Parking,Posted Parking Sign Violation
2013-10-09 12:39:58,Illegal Parking,Posted Parking Sign Violation
2013-10-09 12:36:56,Illegal Parking,Posted Parking Sign Violation
2013-10-09 12:32:47,Illegal Parking,Posted Parking Sign Violation
2013-10-09 12:27:04,Illegal Parking,Double Parked Blocking Vehicle
2013-10-09 11:16:15,Illegal Parking,Commercial Overnight Parking
2013-10-09 11:15:56,Illegal Parking,Unauthorized Bus Layover
2013-10-09 10:22:27,Illegal Parking,Commercial Overnight Parking
2013-10-09 10:14:49,Illegal Parking,Commercial Overnight Parking
2013-10-09 09:29:19,Illegal Parking,Double Parked Blocking Vehicle
2013-10-09 08:41:58,Illegal Parking,Blocked Hydrant
2013-10-09 07:32:28,Illegal Parking,Blocked Hydrant
2013-10-09 07:12:50,Illegal Parking,Commercial Overnight Parking
2013-10-09 06:45:16,Illegal Parking,Commercial Overnight Parking
2013-10-08 21:34:57,Illegal Parking,Blocked Hydrant
2013-10-08 20:11:40,Illegal Parking,Commercial Overnight Parking
2013-10-08 18:46:08,Illegal Parking,Blocked Sidewalk
2013-10-08 17:40:57,Illegal Parking,Commercial Overnight Parking
2013-10-08 16:59:39,Illegal Parking,Blocked Hydrant
2013-10-08 15:58:38,Illegal Parking,Posted Parking Sign Violation
2013-10-08 15:09:22,Illegal Parking,Double Parked Blocking Vehicle
2013-10-08 14:22:24,Illegal Parking,Posted Parking Sign Violation
2013-10-08 12:29:17,Illegal Parking,Posted Parking Sign Violation
2013-10-08 12:01:39,Illegal Parking,Posted Parking Sign Violation
2013-10-08 11:56:57,Illegal Parking,Double Parked Blocking Traffic
2013-10-08 10:58:06,Illegal Parking,Posted Parking Sign Violation
2013-10-08 10:58:04,Illegal Parking,Blocked Sidewalk
2013-10-08 09:48:43,Illegal Parking,Double Parked Blocking Traffic
2013-10-08 09:09:44,Illegal Parking,Detached Trailer
2013-10-08 08:23:17,Illegal Parking,Blocked Sidewalk
2013-10-08 08:09:15,Illegal Parking,Posted Parking Sign Violation
2013-10-08 08:07:07,Illegal Parking,Double Parked Blocking Traffic
2013-10-08 07:36:02,Illegal Parking,Blocked Hydrant
2013-10-08 01:24:25,Illegal Parking,Blocked Hydrant
2013-10-08 01:21:43,Illegal Parking,Posted Parking Sign Violation
2013-10-08 00:53:44,Illegal Parking,Blocked Hydrant
2013-10-07 23:30:10,Illegal Parking,Commercial Overnight Parking
2013-10-07 21:24:56,Illegal Parking,Detached Trailer
2013-10-07 20:59:42,Illegal Parking,Commercial Overnight Parking
2013-10-07 20:59:22,Illegal Parking,Blocked Hydrant
2013-10-07 19:09:34,Illegal Parking,Double Parked Blocking Traffic
2013-10-07 18:59:44,Illegal Parking,Posted Parking Sign Violation
2013-10-07 18:12:08,Illegal Parking,Posted Parking Sign Violation
2013-10-07 18:05:52,Illegal Parking,Blocked Hydrant
2013-10-07 18:03:44,Illegal Parking,Posted Parking Sign Violation
2013-10-07 17:44:10,Illegal Parking,Blocked Hydrant
2013-10-07 17:23:15,Illegal Parking,Commercial Overnight Parking
2013-10-07 17:11:41,Illegal Parking,Blocked Sidewalk
2013-10-07 16:51:31,Illegal Parking,Commercial Overnight Parking
2013-10-07 16:12:16,Illegal Parking,Blocked Sidewalk
2013-10-07 15:26:38,Illegal Parking,Posted Parking Sign Violation
2013-10-07 14:48:40,Illegal Parking,Commercial Overnight Parking
2013-10-07 14:47:32,Illegal Parking,Commercial Overnight Parking
2013-10-07 13:26:37,Illegal Parking,Blocked Sidewalk
2013-10-07 13:26:34,Illegal Parking,Blocked Hydrant
2013-10-07 12:05:18,Illegal Parking,Commercial Overnight Parking
2013-10-07 10:37:09,Illegal Parking,Posted Parking Sign Violation
2013-10-07 10:29:12,Illegal Parking,Posted Parking Sign Violation
2013-10-07 09:33:56,Illegal Parking,Overnight Commercial Storage
2013-10-07 09:00:13,Illegal Parking,Posted Parking Sign Violation
2013-10-07 08:48:17,Illegal Parking,Double Parked Blocking Traffic
2013-10-07 08:30:38,Illegal Parking,Blocked Hydrant
2013-10-07 07:49:15,Illegal Parking,Posted Parking Sign Violation
2013-10-07 07:41:04,Illegal Parking,Commercial Overnight Parking
2013-10-07 07:33:17,Illegal Parking,Blocked Sidewalk
2013-10-07 06:47:12,Illegal Parking,Blocked Hydrant
2013-10-07 03:18:45,Illegal Parking,Blocked Hydrant
2013-10-07 00:22:48,Illegal Parking,Blocked Sidewalk
2013-10-06 22:57:12,Illegal Parking,Overnight Commercial Storage
2013-10-06 22:16:09,Illegal Parking,Blocked Hydrant
2013-10-06 22:10:15,Illegal Parking,Posted Parking Sign Violation
2013-10-06 21:26:53,Illegal Parking,Commercial Overnight Parking
2013-10-06 21:18:07,Illegal Parking,Commercial Overnight Parking
2013-10-06 21:05:27,Illegal Parking,Posted Parking Sign Violation
2013-10-06 20:39:44,Illegal Parking,Blocked Sidewalk
2013-10-06 20:36:50,Illegal Parking,Blocked Sidewalk
2013-10-06 20:03:53,Illegal Parking,Commercial Overnight Parking
2013-10-06 19:48:09,Illegal Parking,Blocked Sidewalk
2013-10-06 19:42:25,Illegal Parking,Blocked Hydrant
2013-10-06 19:11:53,Illegal Parking,Blocked Hydrant
2013-10-06 16:55:07,Illegal Parking,Blocked Hydrant
2013-10-06 13:46:30,Illegal Parking,Commercial Overnight Parking
2013-10-06 13:33:10,Illegal Parking,Commercial Overnight Parking
2013-10-06 13:12:32,Illegal Parking,Commercial Overnight Parking
2013-10-06 13:04:14,Illegal Parking,Blocked Hydrant
2013-10-06 12:35:01,Illegal Parking,Commercial Overnight Parking
2013-10-06 11:56:52,Illegal Parking,Blocked Hydrant
2013-10-06 11:55:23,Illegal Parking,Posted Parking Sign Violation
2013-10-06 10:56:56,Illegal Parking,Double Parked Blocking Vehicle
2013-10-06 10:44:47,Illegal Parking,Blocked Hydrant
2013-10-06 10:40:38,Illegal Parking,Double Parked Blocking Vehicle
2013-10-06 10:25:21,Illegal Parking,Posted Parking Sign Violation
2013-10-06 10:14:54,Illegal Parking,Blocked Hydrant
2013-10-06 08:02:28,Illegal Parking,Blocked Hydrant
2013-10-06 07:28:02,Illegal Parking,Blocked Hydrant
2013-10-06 07:19:28,Illegal Parking,Blocked Hydrant
2013-10-06 07:19:21,Illegal Parking,Blocked Hydrant
2013-10-06 06:49:50,Illegal Parking,Blocked Hydrant
2013-10-06 05:24:44,Illegal Parking,Blocked Sidewalk
2013-10-06 04:18:21,Illegal Parking,Commercial Overnight Parking
2013-10-06 00:15:54,Illegal Parking,Double Parked Blocking Traffic
2013-10-05 23:58:23,Illegal Parking,Commercial Overnight Parking
2013-10-05 23:53:29,Illegal Parking,Blocked Hydrant
2013-10-05 23:40:35,Illegal Parking,Blocked Sidewalk
2013-10-05 23:33:05,Illegal Parking,Blocked Hydrant
2013-10-05 23:26:26,Illegal Parking,Posted Parking Sign Violation
2013-10-05 22:56:12,Illegal Parking,Posted Parking Sign Violation
2013-10-05 22:23:32,Illegal Parking,Detached Trailer
2013-10-05 21:55:58,Illegal Parking,Blocked Sidewalk
2013-10-05 21:18:23,Illegal Parking,Blocked Hydrant
2013-10-05 21:11:14,Illegal Parking,Commercial Overnight Parking
2013-10-05 20:26:25,Illegal Parking,Blocked Hydrant
2013-10-05 19:35:51,Illegal Parking,Blocked Hydrant
2013-10-05 19:12:33,Illegal Parking,Blocked Sidewalk
2013-10-05 18:50:09,Illegal Parking,Overnight Commercial Storage
2013-10-05 18:48:40,Illegal Parking,Blocked Sidewalk
2013-10-05 18:39:08,Illegal Parking,Commercial Overnight Parking
2013-10-05 18:06:38,Illegal Parking,Posted Parking Sign Violation
2013-10-05 17:32:57,Illegal Parking,Posted Parking Sign Violation
2013-10-05 17:10:11,Illegal Parking,Posted Parking Sign Violation
2013-10-05 15:17:29,Illegal Parking,Posted Parking Sign Violation
2013-10-05 14:48:18,Illegal Parking,Overnight Commercial Storage
2013-10-05 14:47:06,Illegal Parking,Posted Parking Sign Violation
2013-10-05 14:07:49,Illegal Parking,Blocked Hydrant
2013-10-05 13:58:08,Illegal Parking,Blocked Sidewalk
2013-10-05 11:30:37,Illegal Parking,Blocked Hydrant
2013-10-05 11:13:24,Illegal Parking,Commercial Overnight Parking
2013-10-05 11:07:03,Illegal Parking,Blocked Hydrant
2013-10-05 10:34:03,Illegal Parking,Blocked Sidewalk
2013-10-05 09:21:11,Illegal Parking,Posted Parking Sign Violation
2013-10-05 08:45:27,Illegal Parking,Posted Parking Sign Violation
2013-10-05 07:38:56,Illegal Parking,Blocked Hydrant
